feature,mean_abs_shap
cat__Contract_Month-to-month,0.07166670137804453
num__tenure,0.057284380486679935
cat__InternetService_Fiber optic,0.04231154644113324
num__TotalCharges,0.03698451769667319
cat__OnlineSecurity_No,0.0364008190400268
cat__Contract_Two year,0.0346235739737393
cat__TechSupport_No,0.03055787186074586
num__MonthlyCharges,0.025573134043238004
cat__PaymentMethod_Electronic check,0.023675001211218304
cat__InternetService_DSL,0.016990444485171854
cat__OnlineBackup_No,0.012191451636825421
cat__OnlineSecurity_Yes,0.010856852985355249
cat__PaperlessBilling_No,0.01078592731658204
cat__PaperlessBilling_Yes,0.010122605263064443
cat__Contract_One year,0.010106407114057216
cat__TechSupport_Yes,0.007663650775332042
cat__InternetService_No,0.00676751671613123
cat__StreamingMovies_No internet service,0.006695947374263854
cat__StreamingMovies_Yes,0.006436839441239617
cat__StreamingTV_Yes,0.0063541675089189495
cat__DeviceProtection_No,0.005893472500825806
cat__Dependents_Yes,0.005850639349522171
cat__Dependents_No,0.00574262706169043
cat__OnlineSecurity_No internet service,0.005598595364813715
cat__MultipleLines_No,0.00539521103099791
cat__OnlineBackup_Yes,0.005326368124329222
cat__StreamingTV_No,0.005094241633798278
cat__PaymentMethod_Credit card (automatic),0.004956203909545085
cat__TechSupport_No internet service,0.0049561413365812115
cat__MultipleLines_Yes,0.004857533856643889
cat__StreamingTV_No internet service,0.00456962973829359
cat__DeviceProtection_No internet service,0.00451334049254671
cat__OnlineBackup_No internet service,0.00447909845417519
cat__StreamingMovies_No,0.004189660259064334
cat__PaymentMethod_Bank transfer (automatic),0.003975763775564686
num__SeniorCitizen,0.0038938423938453142
cat__Partner_Yes,0.0037533080137554897
cat__PaymentMethod_Mailed check,0.0034718020402623524
cat__gender_Female,0.0034580205602449876
cat__gender_Male,0.0034557356351205613
cat__Partner_No,0.0034342820647947307
cat__DeviceProtection_Yes,0.002566194124946702
cat__PhoneService_Yes,0.0017711161915410418
cat__MultipleLines_No phone service,0.0014175677742490178
cat__PhoneService_No,0.0012655663112820126
